episode_length,episode_return,episode_return_imitation,episodes,steps,steps_per_second
8,0.0,16.70818394422531,5374,43171,13.108848847394086
8,0.0,17.015748858451843,5375,43179,12.92377826727157
8,0.0,17.83655458688736,5376,43187,12.893188185328452
8,0.0,16.479416012763977,5377,43195,12.960363135785036
8,0.0,16.61690378189087,5378,43203,12.882896690895855
8,0.0,16.5395245552063,5379,43211,12.880913544977242
8,0.0,15.291702926158905,5380,43219,12.930745830144428
8,0.0,17.890527725219727,5381,43227,12.836303847016058
8,0.0,16.779304146766663,5382,43235,12.877680496863135
8,0.0,15.515164911746979,5383,43243,13.16593240157264
8,0.0,18.964662075042725,5384,43251,13.158249897649789
8,0.0,15.388369858264923,5385,43259,13.067812795496074
8,0.0,16.760515987873077,5386,43267,12.916843070884662
8,0.0,18.60585343837738,5387,43275,12.781116765886582
8,0.0,15.499722719192505,5388,43283,12.76375526649331
8,0.0,16.135338366031647,5389,43291,12.880186709249479
8,0.0,15.759453296661377,5390,43299,13.017577033121576
8,0.0,17.100377202033997,5391,43307,12.877215941384362
8,0.0,19.541678190231323,5392,43315,12.899696291683005
8,0.0,14.818561494350433,5393,43323,12.82183895528234
8,0.0,16.51585865020752,5394,43331,12.80854085136726
8,0.0,18.424008429050446,5395,43339,13.20558677994291
8,0.0,17.017650365829468,5396,43347,12.858040310284268
8,0.0,16.678772032260895,5397,43355,12.877626132256283
8,0.0,16.253035485744476,5398,43363,13.071452640649536
8,0.0,15.342226147651672,5399,43371,12.76469238872123
8,0.0,17.923296988010406,5400,43379,12.981934474457791
8,0.0,15.51795893907547,5401,43387,12.865238040647249
8,0.0,17.022439539432526,5402,43395,12.873071020809036
8,0.0,15.315881192684174,5403,43403,13.047959207084398
8,0.0,17.457351684570312,5404,43411,12.971626237650556
8,0.0,14.62317955493927,5405,43419,12.960933836509083
8,0.0,14.788099229335785,5406,43427,12.875639667848537
8,0.0,17.09851849079132,5407,43435,12.981613035764166
8,0.0,15.993982076644897,5408,43443,13.041199305390377
8,0.0,16.524824261665344,5409,43451,12.885558329883558
8,0.0,16.719070374965668,5410,43459,12.76376012169427
8,0.0,14.83012044429779,5411,43467,12.972930172712426
8,0.0,17.568983554840088,5412,43475,12.69056767188153
8,0.0,15.483606815338135,5413,43483,13.115069041424855
8,0.0,15.583170652389526,5414,43491,12.860859283221574
8,0.0,16.95842844247818,5415,43499,12.810051832817118
8,0.0,16.6978622674942,5416,43507,12.8493939754833
8,0.0,15.381365537643433,5417,43515,12.738620940741537
8,0.0,17.736033141613007,5418,43523,12.90845020573852
8,0.0,17.07195395231247,5419,43531,12.864932219772266
8,0.0,16.701406598091125,5420,43539,12.928239830132652
8,0.0,15.821856915950775,5421,43547,12.98427040553943
8,0.0,17.004425168037415,5422,43555,12.904548185102541
8,0.0,15.411693394184113,5423,43563,13.22930232631491
8,0.0,16.704619526863098,5424,43571,12.984953761482233
8,0.0,16.765890777111053,5425,43579,12.92144414552977
8,0.0,16.690162658691406,5426,43587,13.10294666067382
8,0.0,14.827342092990875,5427,43595,12.750853491334365
8,0.0,16.820443749427795,5428,43603,12.835488747574777
8,0.0,15.982401132583618,5429,43611,12.926616181831701
8,0.0,15.87884509563446,5430,43619,12.923693646850387
8,0.0,15.272444009780884,5431,43627,12.8329360939178
8,0.0,15.134099125862122,5432,43635,12.931303958421811
8,0.0,15.469545543193817,5433,43643,12.961038971071924
8,0.0,14.739550173282623,5434,43651,12.983973972021781
8,0.0,16.607516050338745,5435,43659,12.946051994971961
8,0.0,16.956891179084778,5436,43667,13.407630431420937
8,0.0,15.04817020893097,5437,43675,13.080466795985703
8,0.0,15.18164986371994,5438,43683,13.05442138230202
8,0.0,15.837422966957092,5439,43691,12.881991588460336
8,0.0,16.893011391162872,5440,43699,13.034836291649638
8,0.0,17.045257031917572,5441,43707,13.09747921464538
8,0.0,15.373201549053192,5442,43715,12.958591280155158
8,0.0,16.18163812160492,5443,43723,12.913934893115222
8,0.0,15.11474984884262,5444,43731,12.976211230229843
8,0.0,16.004565834999084,5445,43739,12.943330359267879
9,0.0,17.925875067710876,5446,43748,13.034617996938575
8,0.0,14.546261489391327,5447,43756,13.075063944399156
8,0.0,15.71662163734436,5448,43764,12.81090283364176
8,0.0,15.31960529088974,5449,43772,12.931627894249827
8,0.0,14.53703087568283,5450,43780,12.910367329349796
8,0.0,16.768572866916656,5451,43788,13.018440678281745
8,0.0,16.67124217748642,5452,43796,12.82187325179368
8,0.0,16.045303463935852,5453,43804,13.058689010745239
8,0.0,17.613820672035217,5454,43812,13.233387587657148
8,0.0,16.971000969409943,5455,43820,12.913050271503835
8,0.0,14.860323369503021,5456,43828,13.212934443361998
8,0.0,18.627543807029724,5457,43836,12.893624166876409
8,0.0,15.370361328125,5458,43844,13.00029794064511
8,0.0,17.267375230789185,5459,43852,13.018622512917966
8,0.0,15.20288097858429,5460,43860,13.147536230294035
8,0.0,16.43555051088333,5461,43868,13.024287184280384
8,0.0,16.35362833738327,5462,43876,12.939901230111627
8,0.0,16.088477194309235,5463,43884,13.136546840382872
8,0.0,16.042005956172943,5464,43892,12.945962087809486
8,0.0,17.26253080368042,5465,43900,13.057657411547515
8,0.0,17.713281273841858,5466,43908,13.135240660237578
8,0.0,16.29577535390854,5467,43916,12.902211081516208
8,0.0,15.177532017230988,5468,43924,13.350847756379013
8,0.0,16.95360690355301,5469,43932,12.931578056912238
8,0.0,16.171822011470795,5470,43940,12.911316168489083
8,0.0,16.568033933639526,5471,43948,12.984200064157855
8,0.0,16.02083569765091,5472,43956,12.981688371529792
8,0.0,14.79965627193451,5473,43964,13.000217351971104
8,0.0,16.2184379696846,5474,43972,12.946146898331575
8,0.0,15.34403270483017,5475,43980,12.806155302307475
8,0.0,15.386156260967255,5476,43988,13.2094649948173
8,0.0,15.90000993013382,5477,43996,12.788969474799147
8,0.0,15.15205442905426,5478,44004,13.14465713821221
8,0.0,18.784243881702423,5479,44012,12.937795737067768
8,0.0,15.55572509765625,5480,44020,12.813343974705102
8,0.0,15.261951208114624,5481,44028,12.908499864969151
9,0.0,18.756373345851898,5482,44037,12.891812724696452
8,0.0,16.934728145599365,5483,44045,12.731916805352238
8,0.0,16.397578179836273,5484,44053,12.95976745793846
8,0.0,14.505751490592957,5485,44061,12.701424226422665
8,0.0,15.329680979251862,5486,44069,12.802075531807334
8,0.0,17.95669287443161,5487,44077,12.807132878876939
